scraped_url,og:site_name,og:url,og:title,og:description,host,lang,theme,currency,social_media_links,mail_and_tell_no,date_scraped
https://heavenluxe.com,Heavenluxe,https://heavenluxe.com/,"Heavenluxe™ | World's #1 Softest, Most Comfortable & Cooling Sheets","Heavenluxe sheets are designed to relax after a long day by putting you into deeper sleep. It is made of 100% Austrian Tencel™, super soft, cooling, more durable, hypoallergenic and eco-friendly.",heavenluxe.myshopify.com,,,,,,
https://fashionnova.com,Fashion Nova,https://www.fashionnova.com/,Fashion Nova | Fashion Online For Women | Affordable Women's Clothing,"Fashion Nova is the top online fashion store for women. Shop sexy club dresses, jeans, shoes, bodysuits, skirts and more. Cheap & affordable fashion online.",fnova.myshopify.com,,,,"['https://www.facebook.com/Fashionnova/', 'https://www.instagram.com/fashionnova/', 'https://www.pinterest.com/fashionnova/', 'https://www.youtube.com/fashionnova', 'https://www.snapchat.com/add/fashionnova']","['Unavailable', 'Unavailable']",06-07-2023
https://shop.merriam-webster.com,Merriam-Webster Shop,https://shop.merriam-webster.com/,Merriam-Webster Dictionaries,"Our bookstore features our bestselling Merriam-Webster's Collegiate® Dictionary; the classic Webster's Third New International Dictionary, Unabridged; The Official SCRABBLE® Players Dictionary; and much more.",merriamwebster.myshopify.com,,,,,,
