mapping,seller_sku,brand
UC-ML6O-MEAI,D329x4,Inaya
INMCL12PW,D522x12,Inaya
INMCL20PW,D522x20,Inaya
INMCL8PW,D522x8,Inaya
FBM-DER101BR-M,DER101BR-M,ZooSnoods
FBM-DNO101GG-M,DNO101GG-M,ZooSnoods
FBM-DNO101GG-S,DNO101GG-S,ZooSnoods
BM1076,Dog Bowl Stand-10.75,Gobam
MB1076,Dog Bowl Stand-10.75,Gobam
BM1074,Dog Bowl Stand-3.75,Gobam
BM1075,Dog Bowl Stand-6.80,Gobam
BDH35-4pk,Door Hook 3.5 4pc Black,Unjumbly
OI-0EXS-OTQ0 - MX,Door Hook 3.5 4pc White,Unjumbly
OI-0EXS-OTQ0,Door Hook 3.5 4pc White,Unjumbly
FI-X1ZT-9XE8,Door Hook 3.5 4pc White,Unjumbly
OI-0EXS-OTQ0 - AU,Door Hook 3.5 4pc White,Unjumbly
5A-UTUL-90OW,Door Hooks 3-Prong 2pc Black,Unjumbly
5A-UTUL-90OW-AU,Door Hooks 3-Prong 2pc Black,Unjumbly
V9-YR7H-URVR,Door Hooks 3-Prong 2pc Black,Unjumbly
PH-LOKY-PTAU - AU,Door Hooks 6 2pc White,Unjumbly
57-07CC-SL16,Door Hooks 6 2pc White,Unjumbly
PH-LOKY-PTAU,Door Hooks 6 2pc White,Unjumbly
BM1056,Drawer Organiser-10div-Natural,Gobam
BM1055,Drawer Organiser-15div-Black,Gobam
MB1055,Drawer Organiser-15div-Black,Gobam
BM1028,Drawer Organiser-15div-Natural,Gobam
BM1028-1,Drawer Organiser-4div-Natural,Gobam
FBM-DVL101RD-L,DVL101RD-L,ZooSnoods
FBM-DVL101RD-M,DVL101RD-M,ZooSnoods
FBM-DVL101RD-S,DVL101RD-S,ZooSnoods
ERGOSUPV3-AQBL-S,ERGOSUPV3.1-AQBL-S,Marvable
ERGOSUPV3-CBLK-S,ERGOSUPV3.1-CBLK-S,Marvable
ERGOSUPV3-CORRD-S,ERGOSUPV3.1-CORRD-S,Marvable
SL-MA50-FR81,F022x12,Inaya
L0-XEB9-BAQS,Felt Diaper Caddy,Finer Wares
FHOOK-BL,FHLOOK-BL,Unjumbly
FHOOK-WH,FHLOOK-WH,Unjumbly
FBM-FOX101OG-L,FOX101OG-L,ZooSnoods
CD-4W04-Y25W-FBA,Grey Letter Board,Finer Wares
